keyFifths,beats,beatsType,harmonyRootStep,harmonyRootAlter,divisions,harmonyKind,harmonyDuration,sequenceId,startPitchStep,startPitchOctave,startPitchAlter,targetPitchStep,targetPitchOctave,targetPitchAlter
-3,4,4,E,-1,1,major-seventh,4,5b34aa76-2bdf-4127-a14c-1a7b27966bac,E,3,-1,E,3,-1
-3,4,4,E,-1,1,major-seventh,4,18074319-4f43-4e6e-bc90-6b59cfd46c8f,E,3,-1,E,3,0
2,4,4,E,0,1,minor-seventh,4,0db5aade-429c-46bb-89ea-67e00821ebcc,E,3,0,A,2,0
2,4,4,A,0,1,dominant,4,36a24506-2f77-448d-b6c8-f49dfb8c46c8,A,2,0,D,3,0
2,4,4,D,0,1,major-seventh,4,8e5c80af-2017-46e1-a8d6-8cf889a3833f,D,3,0,D,3,0
2,4,4,D,0,1,major-seventh,4,b777140f-2ba5-4a24-b4d9-acb694ae2749,D,3,0,E,3,-1
-5,4,4,E,-1,1,minor-seventh,4,5273a14f-a17a-4db7-a5bd-3d2d20854b93,E,3,-1,A,2,-1
-5,4,4,A,-1,1,dominant,4,1086cab9-b9b6-4880-9ffd-abd66f8282c1,A,2,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,62321a72-b92d-4965-9ce9-cb2a2df7676d,D,3,-1,D,3,-1
-5,4,4,D,-1,1,major-seventh,4,c6937658-24d1-4e8d-972c-576e0f59375b,D,3,-1,D,3,1
7,4,4,D,1,1,minor-seventh,4,f8aa2b6f-cfc1-4f84-b2db-afb69ed5dda3,D,3,1,G,2,1
7,4,4,G,1,1,dominant,4,94a14938-c053-4470-884b-46524c459703,G,2,1,C,3,1
7,4,4,C,1,1,major-seventh,4,3fa3ad5d-c421-4ad6-b86c-7bc9707ef420,C,3,1,C,3,1
0,4,4,D,0,1,minor-seventh,4,f77e59d2-b2e9-496e-8631-37ba6d7237d1,D,3,0,D,3,-1
0,4,4,D,-1,1,dominant,4,7acecf69-0483-4478-aa65-ce93bfd4041a,D,3,-1,C,3,0
0,4,4,C,0,1,major-seventh,4,f405d47a-8a3c-4219-a5ee-a240325a66b5,C,3,0,C,3,0
0,4,4,C,0,1,major-seventh,4,7fce23ba-e785-49b5-b039-82f653493be5,C,3,0,C,3,1
5,4,4,C,1,1,minor-seventh,4,bfe9ccc5-0a89-4eac-b4a6-39516e4d977b,C,3,1,C,3,0
5,4,4,C,0,1,dominant,4,7a22d703-76ad-44d4-8bb3-0d29fe63c3fe,C,3,0,B,2,0
5,4,4,B,0,1,major-seventh,4,22bb2f2a-00bc-4749-94ea-7ca03c96e80e,B,2,0,B,2,0
5,4,4,B,0,1,major-seventh,4,63d957b3-3df5-4a11-9dfa-4616d8fef0a2,B,2,0,D,3,-1
-7,4,4,D,-1,1,minor-seventh,4,39dbe290-dc2e-48c9-b525-91664fe64abc,D,3,-1,C,3,0
-7,4,4,C,0,1,dominant,4,52c6beab-58f7-414f-a4a8-751e8aa43283,C,3,0,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,f76906f0-88e5-4932-8ee5-c6d9ce85064f,C,3,-1,C,3,-1
-7,4,4,C,-1,1,major-seventh,4,56ac4202-170e-4536-b030-c2ff4de8e6c8,C,3,-1,C,3,0
-2,4,4,C,0,1,minor-seventh,4,207ab094-d00f-46e0-bb12-87546086b477,C,3,0,B,2,0
-2,4,4,B,0,1,dominant,4,5b866a2b-d662-4904-8872-489b4675ced7,B,2,0,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,8fbe7068-9b59-4a7c-8241-c70ddd58512d,B,2,-1,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,858053ac-7b8c-463d-86fe-943910112881,B,2,-1,C,3,0
-2,4,4,C,0,1,minor-seventh,4,9efd34c3-0841-4dce-b8ed-ac29af11a01d,C,3,0,C,3,-1
-2,4,4,C,-1,1,dominant,4,f52e4be6-f3ec-4358-a220-8ce5c592aa89,C,3,-1,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,8b19312a-1f00-4929-8e80-0d9afdec2d27,B,2,-1,B,2,-1
-2,4,4,B,-1,1,major-seventh,4,b1511e80-45ea-4610-94d8-396234261913,B,2,-1,B,2,0
3,4,4,B,0,1,minor-seventh,4,6a7513cf-7d12-43e1-9509-00597efd44ee,B,2,0,B,2,-1
3,4,4,B,-1,1,dominant,4,ebfb1889-14d1-440d-a9f2-e296f290d7c2,B,2,-1,A,2,0
3,4,4,A,0,1,major-seventh,4,88c08266-2d35-4959-972e-ef60edaec866,A,2,0,A,2,0
3,4,4,A,0,1,major-seventh,4,0436a3c7-5c7c-485f-936c-70f5b8b5bf1d,A,2,0,B,2,-1
-4,4,4,B,-1,1,minor-seventh,4,c559a25a-2f28-42dc-82a4-4bfa3d01f420,B,2,-1,A,2,0
-4,4,4,A,0,1,dominant,4,d43a1b41-d61d-4c3a-ad4f-ef0331049dd0,A,2,0,A,2,-1
-4,4,4,A,-1,1,major-seventh,4,2661d0be-298b-429b-b39c-30604b936186,A,2,-1,A,3,-1
-4,4,4,A,-1,1,major-seventh,4,bea642db-16fe-4b72-a4e6-31a2adf0fccb,A,3,-1,A,2,0
1,4,4,A,0,1,minor-seventh,4,501c8109-2580-48c7-96b5-c80cd8215e10,A,2,0,A,2,-1
1,4,4,A,-1,1,dominant,4,c9e1b84b-30d3-4fd3-8169-423f27beb505,A,2,-1,G,2,0
1,4,4,G,0,1,major-seventh,4,129e5e95-90db-40de-9f32-adbbfc58cd4f,G,2,0,G,3,0
1,4,4,G,0,1,major-seventh,4,0a3faa3e-c017-4424-adf8-c35648696979,G,3,0,A,3,0
1,4,4,A,0,1,minor-seventh,4,1046b3a5-c323-4657-b5a7-45445d595f52,A,3,0,A,2,-1
1,4,4,A,-1,1,dominant,4,b845043c-5db2-46af-b6d5-3f5fa22f42fe,A,2,-1,G,2,0
1,4,4,G,0,1,major-seventh,4,56b346e9-ce5f-4304-a17b-a04a7f985ef4,G,2,0,G,3,0
1,4,4,G,0,1,major-seventh,4,d0a74509-cc05-4510-bb54-68003c35e606,G,3,0,A,2,-1
-6,4,4,A,-1,1,minor-seventh,4,e68c3005-c4d3-43c0-88db-3312ef55f813,A,2,-1,G,2,0
-6,4,4,G,0,1,dominant,4,b007aff9-044c-4b38-b1d1-6f99d3791f28,G,2,0,G,2,-1
-6,4,4,G,-1,1,major-seventh,4,550cda7e-fec0-40d4-b19e-f84cefb4835f,G,2,-1,G,3,-1
-6,4,4,G,-1,1,major-seventh,4,27dc59c0-c2a7-41d7-b44f-5f2a040a16d0,G,3,-1,A,3,-1
-6,4,4,A,-1,1,minor-seventh,4,7cdacea6-4e24-4768-8876-b33315cac851,A,3,-1,G,2,0
-6,4,4,G,0,1,dominant,4,2f40256c-5f0d-432b-8af7-a67dbafec5cc,G,2,0,G,2,-1
-6,4,4,G,-1,1,major-seventh,4,0086c8af-d8f8-47e4-a145-e5e2f3c6f493,G,2,-1,G,3,-1
-6,4,4,G,-1,1,major-seventh,4,178713cc-8cdc-42b5-ba9a-1b1ac4d6d82c,G,3,-1,G,2,1
6,4,4,G,1,1,minor-seventh,4,b6b7e75d-4f8a-4297-b499-58488a085232,G,2,1,G,2,0
6,4,4,G,0,1,dominant,4,739eec24-3c1c-44a8-ac4e-88cc6999c38e,G,2,0,F,2,1
6,4,4,F,1,1,major-seventh,4,c3cf2751-e212-4077-a59c-17206db0e807,F,2,1,F,3,1
6,4,4,F,1,1,major-seventh,4,2912bda3-96e4-47e1-bfff-4f4577e0b696,F,3,1,G,3,1
6,4,4,G,1,1,minor-seventh,4,98de6611-1e67-49d4-b248-c02453747089,G,3,1,G,2,0
6,4,4,G,0,1,dominant,4,915e8428-27fb-4722-99a1-22d097838013,G,2,0,F,2,1
